scenario_provider,scenario,scenario_type,scenario_geography,sector,technology,technology_type,price_unit,price_indicator,scenario_price,fuel_price,pathway_unit,scenario_pathway,scenario_capacity_factor,scenario_year,country_iso2_list,gap_filled_columns,fuel_for_price,lifetime_years,efficiency_decimal,capacity_additions_mw_per_yr,om_cost_usd_per_mw_per_yr,capital_cost_usd_per_mw,carbon_price_usd_per_tco2
WITCH 5.0,CO_CurPol,baseline,BRA,Power,OilCap - w/o CCS,carbontech,USD/MWh,,44.10038314529784,18.204240130499304,MWh/yr,9808.682613073712,0.3964611872146119,2030,BR,"efficiency_decimal(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,,0.918742,10.4454827997524,13084.6,436155.1,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - CSP,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,786.223246989076,0.4390462894158436,2030,BR,,Gas,25.0,1.0,147.779990591178,133039.574,3491786.84913483,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - PV,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,14628.6513256828,0.2280274188529601,2030,BR,,Gas,25.0,1.0,2180.35426613821,47478.84414,845304.0256573489,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,41029.7996031555,0.4437024072438156,2030,BR,capital_cost_usd_per_mw(global),Wind,30.0,1.0,5399.54743383975,28169.9440237824,1947089.087241211,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Offshore,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,81.0,0.1611115057218557,2030,BR,,Gas,30.0,1.0,1.8901047318383,56228.8824,3117562.3374219397,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Onshore,greentech,USD/MWh,,44.10038314529784,0.0,MWh/yr,40948.7996031555,0.4442613946438155,2030,BR,,Gas,30.0,1.0,5397.65732910791,28114.4412,1125262.8439074298,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap,carbontech,USD/MWh,,43.25703614146656,13.150062626456034,MWh/yr,26861.5145279819,0.7971895826118381,2035,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Biomass,40.0,0.264919,494.417585242941,158710.80000000002,1803486.4400390624,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/ CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,0.4969865670248999,0.8000000000001154,2035,BR,,Gas,25.0,0.295789473684211,0.0270767897758042,27471.952,4091105.368,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/o CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,26861.0175414148,0.7971895306130774,2035,BR,,Gas,25.0,0.315789473684211,494.390508453165,23927.184,2215480.0,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap,carbontech,USD/MWh,,43.25703614146656,11.33274597324584,MWh/yr,1866.55023445972,3.669504812698336e-09,2035,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Coal,40.0,0.45,0.2262898468089,46005.33871765136,1888163.7,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/ CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,1.9804988736351,1.7291893370082053e-06,2035,BR,,Gas,40.0,0.350497086852268,0.0936198628089159,28877.9103971176,3552337.55666667,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/o CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,1864.56973558608,1.836701234008886e-09,2035,BR,,Gas,40.0,0.53710522610375,0.132669984,23927.184,1670028.824,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,63805.3147827575,0.0685473773089299,2035,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,35.0,0.192142,3431.2797572065,15815.33145904541,456275.5638232422,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap - w/ CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,0.925742451298,1.2331210584703488e-06,2035,BR,,Gas,25.0,0.502105263157895,0.0505561172901921,19385.449999999997,2191109.7199999997,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap - w/o CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,63804.38904030621,0.0685483718498463,2035,BR,,Gas,25.0,0.497368421052632,3431.2292010892097,14068.298,1089462.29,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,HydroCap,greentech,USD/MWh,,43.25703614146656,0.0,MWh/yr,154533.176190423,0.4891698917623067,2035,BR,capital_cost_usd_per_mw(global),Hydro,45.0,1.0,6230.915691542939,75880.19,2624689.6,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,NuclearCap,greentech,USD/MWh,,43.25703614146656,0.0,MWh/yr,6081.27265597182,0.8708171758036989,2035,BR,,Nuclear,40.0,1.0,212.414868639019,215581.027534217,4217276.954,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,OilCap,carbontech,USD/MWh,,43.25703614146656,53.9530814465332,MWh/yr,7856.69662815735,0.3964611872146122,2035,BR,"efficiency_decimal(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Oil,,0.916588,156.144274049484,13084.6,436155.1,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,OilCap - w/o CCS,carbontech,USD/MWh,,43.25703614146656,18.712562201514757,MWh/yr,7856.69662815735,0.3964611872146122,2035,BR,"efficiency_decimal(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,,0.916588,156.144274049484,13084.6,436155.1,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - CSP,greentech,USD/MWh,,43.25703614146656,0.0,MWh/yr,1367.86219369596,0.445912605775476,2035,BR,,Gas,25.0,1.0,219.878032355661,133039.574,3172332.62349416,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - PV,greentech,USD/MWh,,43.25703614146656,0.0,MWh/yr,22547.612193696,0.2222022589209428,2035,BR,,Gas,25.0,1.0,2827.71076141288,47478.84414,775469.4093931359,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap,greentech,USD/MWh,,43.25703614146656,0.0,MWh/yr,60727.397113268096,0.4425014908341901,2035,BR,capital_cost_usd_per_mw(global),Wind,30.0,1.0,4109.94136407868,28151.9410739523,1892447.0960253903,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Offshore,greentech,USD/MWh,,43.25703614146656,0.0,MWh/yr,81.0,0.1611115057218557,2035,BR,,Gas,30.0,1.0,1.8894732867377,56228.8824,2900112.66691979,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Onshore,greentech,USD/MWh,,43.25703614146656,0.0,MWh/yr,60646.3971132681,0.4428773184163551,2035,BR,,Gas,30.0,1.0,4108.05189079194,28114.4412,1065055.80320437,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap,carbontech,USD/MWh,,42.20805090021732,12.09456,MWh/yr,23844.9747295745,0.7974809479402458,2040,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Biomass,40.0,0.264919,93.8028619848406,154707.4,1740175.81953125,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/ CCS,carbontech,USD/MWh,,42.20805090021732,19.22681698362507,MWh/yr,0.5308209831069001,0.8000000000000502,2040,BR,,Gas,25.0,0.298421052631579,0.0270767897758042,27471.952,4091105.368,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/o CCS,carbontech,USD/MWh,,42.20805090021732,19.22681698362507,MWh/yr,23844.4439085914,0.7974808918615335,2040,BR,,Gas,25.0,0.318421052631579,93.7757851950648,23927.184,2215480.0,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap,carbontech,USD/MWh,,42.20805090021732,11.539937612485696,MWh/yr,1597.67647046374,4.287047593875545e-09,2040,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Coal,40.0,0.45,0.2262898468089,45706.93211669922,1888163.7,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/ CCS,carbontech,USD/MWh,,42.20805090021732,19.22681698362507,MWh/yr,2.162109771346,1.5839424897074437e-06,2040,BR,,Gas,40.0,0.352781304739442,0.0936198628089159,28878.009450071,3552337.55666667,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/o CCS,carbontech,USD/MWh,,42.20805090021732,19.22681698362507,MWh/yr,1595.51436069239,2.1464285240030116e-09,2040,BR,,Gas,40.0,0.537276239638838,0.132669984,23927.184,1670028.824,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap,carbontech,USD/MWh,,42.20805090021732,19.22681698362507,MWh/yr,67924.33924910788,0.0543472384645747,2040,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,35.0,0.192142,0.152233799039,15516.92581176758,457108.75,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap - w/ CCS,carbontech,USD/MWh,,42.20805090021732,19.22681698362507,MWh/yr,0.9893655842941,0.839155251141615,2040,BR,,Gas,25.0,0.50578947368421,0.0505561172901921,19385.449999999997,2191109.7199999997,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap - w/o CCS,carbontech,USD/MWh,,42.20805090021732,19.22681698362507,MWh/yr,67923.3498835236,0.0543358070195806,2040,BR,,Gas,25.0,0.5052631578947371,0.1016776817488,14068.298,1089462.29,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,HydroCap,greentech,USD/MWh,,42.20805090021732,0.0,MWh/yr,165047.398608953,0.4912141981836165,2040,BR,capital_cost_usd_per_mw(global),Hydro,45.0,1.0,6230.915691542939,75880.19,2688276.1999999997,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,NuclearCap,greentech,USD/MWh,,42.20805090021732,0.0,MWh/yr,6263.662493562992,0.860209408773696,2040,BR,,Nuclear,40.0,1.0,169.03023401438898,218117.148197879,4217276.954,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,OilCap,carbontech,USD/MWh,,42.20805090021732,56.641226577758786,MWh/yr,7032.05494665548,0.3964611872146121,2040,BR,"efficiency_decimal(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Oil,,0.914433,0.0781738586616635,13084.6,436155.1,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,OilCap - w/o CCS,carbontech,USD/MWh,,42.20805090021732,19.22681698362507,MWh/yr,7032.05494665548,0.3964611872146121,2040,BR,"efficiency_decimal(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,,0.914433,0.0781738586616635,13084.6,436155.1,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - CSP,greentech,USD/MWh,,42.20805090021732,0.0,MWh/yr,2190.43882173362,0.448193243601609,2040,BR,,Gas,25.0,1.0,298.093237023227,133039.574,2917399.8452126496,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,SolarCap - PV,greentech,USD/MWh,,42.20805090021732,0.0,MWh/yr,32084.231231043603,0.2185255212126292,2040,BR,,Gas,25.0,1.0,4131.388808331861,47478.84414,711571.6229080881,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap,greentech,USD/MWh,,42.20805090021732,0.0,MWh/yr,70475.00191831599,0.439187865720029,2040,BR,capital_cost_usd_per_mw(global),Wind,30.0,1.0,7352.079689884911,28146.754356086694,1854937.1860241697,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Offshore,greentech,USD/MWh,,42.20805090021732,0.0,MWh/yr,81.0,0.1611115057218557,2040,BR,,Gas,30.0,1.0,1.8900569853158,56228.8824,2721634.71150828,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,WindCap - Onshore,greentech,USD/MWh,,42.20805090021732,0.0,MWh/yr,70394.001918316,0.4395078387936726,2040,BR,,Gas,30.0,1.0,7350.189632899599,28114.4412,1014936.89384872,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap,carbontech,USD/MWh,,39.44653437841956,11.74356,MWh/yr,19441.7325158645,0.7975417178054063,2045,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global),fuel_price(global)",Biomass,40.0,0.264919,0.0770767897758041,150704.0,1737321.32734375,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/ CCS,carbontech,USD/MWh,,39.44653437841956,19.74884371081625,MWh/yr,0.5577419947358,0.8000000000000426,2045,BR,,Gas,25.0,0.301052631578947,0.0270767897758042,27471.952,4091105.368,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,BiomassCap - w/o CCS,carbontech,USD/MWh,,39.44653437841956,19.74884371081625,MWh/yr,19441.1747738698,0.7975416472804904,2045,BR,,Gas,25.0,0.321052631578947,0.05,23927.184,2215480.0,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap,carbontech,USD/MWh,,39.44653437841956,11.732094918608723,MWh/yr,1367.69655279422,5.007920108082396e-09,2045,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Coal,40.0,0.46,0.2262898468089,45408.52742309571,1888163.7,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/ CCS,carbontech,USD/MWh,,39.44653437841956,19.74884371081625,MWh/yr,2.3174498040911,1.4777698866231629e-06,2045,BR,,Gas,40.0,0.355065478086942,0.0936198628089159,28878.0818558417,3552337.55666667,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,CoalCap - w/o CCS,carbontech,USD/MWh,,39.44653437841956,19.74884371081625,MWh/yr,1365.37910299013,2.5082100104994295e-09,2045,BR,,Gas,40.0,0.537444441623607,0.132669984,23927.184,1670028.824,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap,carbontech,USD/MWh,,39.44653437841956,19.74884371081625,MWh/yr,54046.08361170061,0.0615582377936859,2045,BR,"efficiency_decimal(global),lifetime_years(global),capital_cost_usd_per_mw(global),om_cost_usd_per_mw_per_yr(global)",Gas,35.0,0.192142,0.152233799039,15218.51921081543,474624.65,
WITCH 5.0,CO_CurPol,baseline,BRA,Power,GasCap - w/ CCS,carbontech,USD/MWh,,39.44653437841956,19.74884371081625,MWh/yr,1.0399885682731,1.0976587111059038e-06,2045,BR,,Gas,25.0,0.509473684210526,0.0505561172901921,19385.449999999997,2191109.7199999997,
