scenario_provider,scenario,total_records,technology_count,technologies_included,records_with_gapfilling,records_without_gapfilling,gapfill_percentage,costs_gapfilled_count,costs_gapfilled_percentage,efficiency_lifetime_gapfilled_count,efficiency_lifetime_gapfilled_percentage,fuel_price_gapfilled_count,fuel_price_gapfilled_percentage,scenario_price_gapfilled_count,scenario_price_gapfilled_percentage,unique_gapfill_patterns,most_common_gapfill_pattern,technologies_with_positive_ebitda,total_technologies_in_scenario,technologies_with_positive_ebitda_percentage,unique_countries,year_range_start,year_range_end,scenario_type,scenario_geography
AIM/CGE 2.2,EN_NPi2020_300f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1063,62.83,1692,100.0,1296,76.6,167,9.87,21,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_NPi2020_400f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1040,61.47,1692,100.0,1296,76.6,151,8.92,21,lifetime_years,16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_NPi2020_500f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1035,61.17,1692,100.0,1296,76.6,135,7.98,20,lifetime_years,16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_NPi2020_600,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1074,63.48,1692,100.0,1296,76.6,213,12.59,21,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_NPi2020_600f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1023,60.46,1692,100.0,1296,76.6,135,7.98,20,lifetime_years,16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_NPi2020_700,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1054,62.29,1692,100.0,1296,76.6,167,9.87,21,"efficiency_decimal,lifetime_years,capital_cost_usd_per_mw,om_cost_usd_per_mw_per_yr,fuel_price",16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_NPi2020_700f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,105,6.21,20,lifetime_years,16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_NPi2020_800,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1038,61.35,1692,100.0,1296,76.6,151,8.92,21,lifetime_years,16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_NPi2020_800f,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1020,60.28,1692,100.0,1296,76.6,75,4.43,20,lifetime_years,16,16,100.0,209,2025,2050,target,BRA
AIM/CGE 2.2,EN_NPi2020_900,1692,16,"BiomassCap, BiomassCap - w/ CCS, BiomassCap - w/o CCS, CoalCap, CoalCap - w/ CCS, CoalCap - w/o CCS, GasCap, GasCap - w/ CCS, GasCap - w/o CCS, GeothermalCap, HydroCap, NuclearCap, OilCap, OilCap - w/ CCS, OilCap - w/o CCS, WindCap - Onshore",1692,0,100.0,1023,60.46,1692,100.0,1296,76.6,135,7.98,20,lifetime_years,16,16,100.0,209,2025,2050,target,BRA
