Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Coal,GW,1515.799852,1504.956279,1472.374636,1164.728174,673.288798,219.879369,25.17718128,40.80039994,10.57261434,3.858606552,2.492745542,2.424692616,2.812934062,2.99281364,2.466046585,1.616789241,1.557159122
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Coal|w/ CCS,GW,0,0,0.000476993,8.605182735,22.10455568,34.3319263,23.10455675,40.61575935,10.5496307,3.853220271,2.490750177,2.423260501,2.812651384,2.992553252,2.466046585,1.616789241,1.557159122
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Coal|w/o CCS,GW,1515.799852,1504.956279,1472.374159,1156.122991,651.1842423,185.5474427,2.072624523,0.184640583,0.02298364,0.005386281,0.001995365,0.001432115,0.000282678,0.000260388,0,0,0
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Gas,GW,358.1489308,356.5065388,363.0363947,309.2840693,262.43967,166.2503973,67.39539624,29.38429471,13.23844821,7.233427176,4.781529871,4.506184224,6.132484377,6.999419489,7.937646633,7.755566318,7.634127177
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Gas|w/ CCS,GW,0,0,0.01124046,0.048342205,0.151115909,0.316466495,0.72772781,3.308508386,3.372904689,2.811672457,2.365867136,2.700121471,4.746906343,4.910931325,5.005872509,4.333656245,3.578684091
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Gas|w/o CCS,GW,358.1489308,356.5065388,363.0251543,309.2357271,262.2885541,165.9339308,66.66766843,26.07578632,9.86554352,4.42175472,2.415662734,1.806062753,1.385578034,2.088488164,2.931774124,3.421910074,4.055443086
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Geothermal,GW,8.364289425,13.76265582,17.57633212,24.45826944,27.72625659,27.99987323,28.1575144,28.14544358,28.13593934,28.13199786,28.12585217,28.11865138,28.1156982,28.11655102,28.11586213,28.12218089,28.11934382
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Hydro,GW,514.860397,525.0026619,535.1448336,545.2869215,555.4291958,565.5712743,575.7135392,585.8556271,595.9977988,606.1398866,616.2822448,626.4242208,636.5661222,646.709049,656.8509411,666.9929264,677.1348278
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Nuclear,GW,66.61670566,76.82671627,80.04741746,86.02643834,98.07496108,117.7627768,143.151628,174.2690356,203.9954865,224.2792189,245.9308209,266.9313285,296.9164156,313.9976005,331.2740867,337.3080831,337.0569224
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Oil,GW,77.12358975,53.69941558,55.74614257,53.34251513,51.89161261,35.32198396,18.66721788,10.10231858,5.183903237,2.665602209,1.628937046,1.239670065,0.983973406,1.137204596,1.298799091,1.182362957,0.181163623
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Oil|w/o CCS,GW,77.12358975,53.69941558,55.74614257,53.34251513,51.89161261,35.32198396,18.66721788,10.10231858,5.183903237,2.665602209,1.628937046,1.239670065,0.983973406,1.137204596,1.298799091,1.182362957,0.181163623
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Solar,GW,258.8873631,1070.060465,1882.494817,3165.49029,4888.695145,6990.69987,9326.025193,11800.23289,14201.18943,16151.13754,17690.01104,18698.01551,19158.83301,19036.84352,18698.02077,18413.13433,18119.7787
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Solar|CSP,GW,0.09125988,0.625590347,1.737851586,5.149067454,12.626056,26.45002721,46.647975,68.73448223,91.01736861,106.9138895,120.2040674,129.9966488,137.4173758,141.0524,143.6008218,146.0334677,149.0650482
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Solar|PV,GW,258.7961032,1069.434875,1880.756965,3160.341223,4876.069089,6964.249843,9279.377218,11731.49841,14110.17206,16044.22365,17569.80697,18568.01886,19021.41564,18895.79112,18554.41994,18267.10086,17970.71366
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Wind,GW,203.1925181,587.9707681,967.6613853,1509.33191,2184.111684,2903.481998,3625.866177,4191.515944,4621.318307,4741.594365,4796.26691,4837.016908,4929.469033,4976.099337,5014.398962,4952.356132,4866.936082
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Wind|Offshore,GW,0.357141391,4.281498904,15.42175957,51.18075368,132.658304,266.445759,436.5520941,618.7557163,759.905956,833.2096299,880.5637019,915.4323498,952.5496667,998.8570503,1037.124425,1008.245006,971.5066686
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capacity|Electricity|Wind|Onshore,GW,202.8353767,583.6892692,952.2396258,1458.151157,2051.45338,2637.036239,3189.314082,3572.760228,3861.412351,3908.384735,3915.703208,3921.584559,3976.919366,3977.242287,3977.274538,3944.111126,3895.429414
GCAM 6.0 NGFS,Delayed transition,Asia (R5),Capital Cost|Electricity|Biomass|w/ CCS,US$2010/kW,,,5974.302408,5664.45204,5385.263948,5133.510524,4904.350356,4697.783444,4510.58218,4342.746564,4189.435184,4052.261844,3926.385132,3815.032656,3713.363004,3619.762372,3537.458368
